Rank,Song,Artist,Year,Lyrics
82,running on empty,jackson browne,1978, looking out at the road rushing under my wheels looking back at the years gone by like so many summer fields in sixty five i was seventeen and running up one on one i dont know where im running now im just running onrunning on running on empty running on running blind running on running into the sun but im running behind    meaning  byamandah   editor    running on empty was written while jackson browne was driving to the studio each day to make his record the pretender in rolling stone magazine browne    see all   gotta do what you can just to keep your love alive trying not to confuse it with what you do to survive in sixtynine i was twentyone and i called the road my own i dont know when that road turned into the road im onrunning on running on empty running on running blind running on running into the sun but im running behindeveryone i know everywhere i go people need some reason to believe i dont know about anyone but me if it takes all night thatll be all right if i can get you to smile before i leavelooking out at the road rushing under my wheels i dont know how to tell you all just how crazy this life feels look around for the friends that i used to turn to to pull me through looking into their eyes i see them running toorunning on running on empty running on running blind running on running into the sun but im running behindhoney you really tempt me you know the way you look so kind id love to stick around but im running behind you know i dont even know what im hoping to find running into the sun but im running behind 
83,whenever i call you friend,kenny loggins  stevie nicks,1978,kenny loggins  stevie nicks miscellaneous whenever i call you friend whenever i call you friend i begin to think i understand anything we are  you and i have always been ever and ever i see myself within your eyes and thats all i need to show me why everything i do always takes me home to you ever and ever now i know my life has given me  more than memories  day by day we can see in every moment theres a reason to carry on sweet love showin us a heavenly light ive never seen such a beautiful sight sweet love flowin almost every night i know forever well be doin itright whenever i call you friend  i believe ive come to understand everywhere we are you and i were meant to be forever and ever i think about the times to come knowin i will be the lucky one ever our love will last i always want to call you friend sweet lovesweet love  youre the glowing light in my life the source of pride in my life everything i do takes me back to you
84,fool if you think its over,chris rea,1978,NA
85,get off,foxy,1978, ooh ooh ooh ooh ooh ooh ooh ooh ooooooohyeah get offmusic may ease and end all discretion so we can get off we keep under the sheets with two lovelys so we can get offsaid i hope that we get the promise ladies and make me get off take it from girls with our imagination so we can get offcall me up at your place i can love you crazy in the heat you will understand danger and excitement thats what makes a lady find out what she wants in a manto get off get off to get off to get off to get off to get off to get off to get get offooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooooooohlookin through that dress that drive me crazy and makes me get off sensuality excites my mind it makes get off if i were you id get a good perspective on how to get off love me wild and love me crazy so we can get offcall me up at your place i can love you crazy in the heat you will understand danger and excitement thats what makes a lady find out what she wants in a manto get off to get off to get off to get off to get off to get off to get off to get get offooh ooh ooh ooh ooh ooh ooh ooh ooooooohooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooooooohlookin through that dress that drive me crazy and makes me get off sensuality excites my mind it makes get off if i were you id get a good perspective for sure on how to get off love me wild and love me crazy so we can get offcall me up at your place i can love you crazy in the heat you will understand danger and excitement thats what makes a lady find out what she wants in a manto get off to get off to get off to get off to get off to get off to get off to get get offooh ooh ooh ooh ooh ooh ooh ooh ooooooohget offso get off to get off to get off to get get off get off to get off to get off get off so get off get off to get off to get get off get off to get off get off get offto get off to get off to get off to get get off get off get off get off to get off get off to get off get off get get off get off get off so get off just get off get off get off get off 
86,sweet talkin woman,electric light orchestra,1978, where did you goi was searchin on a oneway street i was hopin for a chance to meet i was waitin for the operator on the lineshes gone so long what can i do where could she be no no no dont know what im gonna do i gotta get back to youyou gotta slow down sweet talkin woman you got me runnin you got me searchin hold on sweet talkin lover its so sad if thats the way its overi was walkin many days go by i was thinkin bout the lonely nights communication breakdown all aroundshes gone so long what can i do where could she be no no no dont know what im gonna do i gotta get back to youyou gotta slow down sweet talkin woman you got me runnin you got me searchin hold on sweet talkin lover its so sad if thats the way its overive been livin on a dead end street ive been askin everybody i meet insufficient data coming throughshes gone so long what can i do where could she be no no no dont know what im gonna do i gotta get back to youoh slow down sweet talkin woman you got me runnin you got me searchin hold on sweet talkin lola its so sad if thats the way its overslow down sweet talkin woman you got me runnin you got me searchin hold on sweet talkin lover its so sad if thats the way its overslow down sweet talkin woman you got me runnin you got me searchin hold on sweet talkin lover its so sad if thats the way its over 
87,lifes been good,joe walsh,1978, i have a mansion forget the price aint never been there they tell me its nice i live in hotels tear out the walls i have accountants pay for it allthey say im crazy but i have a good time im just looking for clues at the scene of the crime lifes been good to me so farmy maserati does 185 i lost my license now i dont drive i have a limo ride in the back i lock the doors in case im attackedim making records my fans they cant wait they write me letters tell me im great so i got me an office gold records on the wall just leave a message maybe ill calllucky im sane after all ive been through everybody says im cool hes cool i cant complain but sometimes i still do lifes been good to me so fari go to parties sometimes until four its hard to leave when you cant find the door its tough to handle this fortune and fame everybodys so different i havent changedthey say im lazy but it takes all my time everybody says oh yeah oh yeah i keep on going guess ill never know why lifes been good to me so far 
88,i love the nightlife,alicia bridges,1978,i love the nightlife i got to boogie on the disco round oh yeah oh i love the nightlife i got to boogie on the disco round oh yeah please dont talk about love tonight please dont talk about sweet love please dont talk about bein true and all the trouble weve been through ah please dont talk about all of the plans we had for fixin this broken romance i want to go where the people dance i want some action i want to live action i got so much to give i want to give it i want to get some too oh i oh i i love the nightlife i got to boogie on the disco round oh yeah oh i love the nightlife i got to boogie on the disco round oh yeah please dont talk about love tonight your sweet talkin wont make it right love and lies just bring me down when youve got women all over town you can love them all and when youre through maybe thatll make huh a man out of you i got to go where the people dance i want some action i want to live action i got so much to give i want to give it i want to get some too oh i i love the nightlife i got to boogie on the disco round oh yeah oh i love the night life i got to boogie on the disco round oh yeah oh i love the nightlife i got to boogie on the disco round yeah oh i love the night life i got to boogie on the disco round yeah oh i love the nightlife i got to boogie on the disco round oh yeah oh i love the night life i got to boogie on the disco round yeah oh i love the nightlife i got to boogie on the disco round oh yeah
89,you cant turn me off in the middle of turning me on,high inergy,1978,darling when youre next to me intro i melt i feel so weak its getting hard to go to sleep this feeling on my mind it needs you baby to satisfy you cant turn me off not in the middle of turning me on i cant suddenly stop nooooo youve changed me from cold to hot now im ready to give you all the love ive got please dont leave me now cant you read in my eyes this need i have to love so dont tease me now dont tease me please please me now you cant turn me off you cant turn me off not in the middle in the middle in the middle of turning me on i cant suddenly stop noooo each and every time we touch ooh the feeling too much take me to that special place youve gone too far to leave me so spaced baby you wont tease me now you wont do nothing but please me now you cant turn me off not in the middle of turning me on i cant suddenly stop if you love me like i love you then youll do what i want you to baby please youll come and hold me in your lovin arms and make my heart rush straight to the stars  so dont tease me now you wont do nothing but please me now you cant turn me off no you cant turn me off not in the middle smack dab in the middle of turning me on im ready to learn ready to learn ready to learn
90,its so easy,linda ronstadt,1978, its so easy to fall in love its so easy to fall in lovepeople tell me loves for fools here i go breaking all the rulesseems so easy yeah so doggone easy oh it seems so easy yeah where youre concerned my heart can learnits so easy to fall in love its so easy to fall in lovelook into your heart and see what your love book has set aside for meit seems so easy yeah so doggone easy oh it seems so easy yeah where youre concerned my heart can learnoh its so easy to fall in love its so easy to fall in loveit seems so easy oh so doggone easy yeah it seems so easy oh where youre concerned my heart can learnoh its so easy to fall in love its so easy to fall in loveits so easy to fall in love its so easy to fall in loveits so easy to fall in love its so easy to fall in love 
91,native new yorker,odyssey,1978, new york girl ooh ooh oohrunnin pretty new york city girl twentyfive thirtyfive hello baby new york city girlyou grew up riding the subways running with people up in harlem down on broadway youre no tramp but youre no lady talkin that street talk youre the heart and soul of new york cityand love love is just a passing word its the thought you had in a taxi cab that got left on the curb when he dropped you off at east 83rdoh oh oh oh oh oh youre a native new yorker you should know the score by now you should know by now youre a native new yorkernew york girl ooh ooh oohmusic plays everyones dancing closer and closer making friends and finding lovers there you are lost in the shadows searching for someone searchin for someone to set you free from new york cityand whoa where did all those yesterdays go when you still believed love could really be like a broadway show you are the star win the applauseoh oh oh oh oh oh youre a native new yorker no one opens the door for a native new yorkerrunnin pretty new york city girl ooh ooh ooh native native native new yorkerwhere did all those yesterdays go when you still believed love could really be like a broadway show you are the staryoure a native new yorker you should know the score by now youre a native new yorkeryou should know the score you should know the score by now youre a native new yorker oh oh oh native native native new yorker youre a native new yorkerwhoa oh ho ho youre a native new yorker you should know the score native native native new yorker youre a native new yorkerwhat you waiting for no one opens the door youre a native new yorker for a native for a native new yorker 
92,flash light,parliament,1978, now i lay me down to sleep ooh i just cant find a beat flash light ohh i will never dance flash light flash light flash lightha da da dee da hada hada da daoh its no useflash light red light neon light ooh stop lightnow i lay me down to sleep i guess ill go count the sheep oh but i will never danceoh dont make me do it dance sucker ooh ha ha oww get himmost of all he needs the funk shine it help him find the funk ha funk it most of all he needs the funk help him find the funk get him most of all he needs the funk i know we can get him help him find the funk ho most of all he needs the funk ha dont help him find the funk i know you will dance sucker most of all he needs the funk shine the spotlight on him help him find the funk oh funk meha da da dee da hada hada da da dance nose you know you on my funk street oh funk me ha da da dee da hada hada da da get on down nose i like it dance thenflash light flash light oh ho ho spot light  spot light neon light neon light street light street lightoh ho ha haeverybodys got a little light under the sunshinin on the funk shinin on the funkmost of all he need the funk ha da da dee da hada hada da da help him find the funk most of all he need the funk help him find the funk most of all he need the funk help him find the funk most of all he need the funk help him find the funkha da da dee da hada hada da da oh flash light flash light flash light flash light flash light flash light flash light oh flash light flash light oh flash light spot light spot light neon light ooooh neon light flash light ooh flash light ho stop light stop lightnow i lay me down to sleep i guess ill go count the sheep ha da da dee da hada hada da da oh shake your funk ha da da dee da hada hada da da shake your funk ha da da dee da hada hada da da shake your rump ha da da dee da hada hada da da ho i think i found the funkflash light flash light day light day light spot light spot light red light ohhh hooo red lighteverybodys got a little light under the sunha da da dee da hada hada da da ha da da dee da hada hada da da ha da da dee da hada hada da da ha da da dee da hada hada da da ha da da dee da hada hada da da ha da da dee da hada hada da da ha da da dee da hada hada da da ha da da dee da hada hada da daeverybodys got a little light under the sun under the sun under the sun under the sun under the sun under the sun under the sun under the sun under the sun 
93,dont look back,boston,1978, dont look back a new day is breakin its been too long since i felt this way i dont mind where i get taken the road is callin today is the dayi can see it took so long just to realize im much too strong not to compromise now i see what i am is holding me down ill turn it around oh yes i willi  finally see the dawn arrivin i  see beyond the road im drivinits a bright horizon and im awakin now oh i see myself in a brand new way the sun is shinin the clouds are breakin cause i cant lose now theres no game to playi can tell theres no more time left to criticize ive seen what i could not recognize everything in my life was leading me on but i can be strong oh yes i cani  finally see the dawn arrivin i  see beyond the road im drivin oo far away and left behind left behindoh the sun is shining and im on that roaddont look back a new day is breakin oh its been so long since i felt this way i dont mind if i get taken the road is callin today is the dayi can see it took so long just to realize im much too strong not to compromise now i see what i am is holding me down ill turn it around oh yes i willi  finally see the dawn arrivin i  see beyond the road im drivin oh far away and left behinddont look back dont look back dont look back dont look back 
94,turn to stone,electric light orchestra,1978, the city streets are empty now the lights dont shine no more and so the songs are way down low turning turning turning a sound that flows into my mind the echoes of the daylight of everything that is alive in my blue worldi turn to stone when you are gone i turn to stone turn to stone when you comin home i cant go onthe dying embers of the night a fire that slowly fades till dawn still glow upon the wall so bright turning turning turning the tired streets that hide away from here to everywhere they go roll past my door into the day in my blue worldi turn to stone when you are gone i turn to stone turn to stone when you comin home i cant go on turn to stone when you are gone i turn to stoneyes im turnin to stone cause you aint comin home why you aint comin home if im turnin to stone youve been gone for so long and i cant carry on yes im turnin im turnin im turnin to stonethe dancing shadows on the wall the two step in the hall are all i see since youve been gone turning turning turning through all i sit here and i wait i turn to stone i turn to stone you will return again someday to my blue worldi turn to stone when you are gone i turn to stone turn to stone when you comin home i cant go on turn to stone when you are gone i turn to stonei turn to stone when you are gone i turn to stone turn to stone when you comin home i cant go on turn to stone when you are gone i turn to stone 
95,i cant stand the rain,eruption,1978,i cant stand the rain against my window bringing back sweet memories i cant stand the rain against my window because hes not here with me hey window pane do you remember how sweet it used to be when we were together everything was so grand yes it was now that weve parted theres one sound that i just cant stand i cant stand the rain against my window bringing back sweet memories i cant stand the rain alone with the pillow where his head used to lay yeah i know youve got some sweet memories but like a window you aint got nothing to say i cant stand the rain against my window bringing back sweet memories hey i cant stand the rain ooh against my window oh no no because hes not here with me i cant i cant i cant cant stand the rain i cant i cant i cant cant stand the rain i cant i cant i cant cant stand the rain i cant i cant i cant cant stand the rain i cant i cant i cant cant stand the rain get off my window i cant i cant i cant cant stand the rain get off my window now i cant stand the rain i cant stand the rain
96,ebony eyes,bob welch,1978, well have you seen that girl in the corner id like to take her out of her chains cause if i have my way with you baby i would be changing your life todayyour eyes got me dreaming your eyes got me blind your eyes got me hoping that ill be holding you close tonightyour eyes got me dreaming your eyes got me blind your eyes got me hoping that ill be holding you close tonightshe was the same as a hundred ladies but when my eyes looked at her i learned that she was keeping a secret fire and if i got real close id burnso it looked like i had to move slowly like a cat at night in the trees cause i was waiting for her to show me the way that she liked her love to feelyour eyes got me dreaming your eyes got me blind your eyes got me hoping that ill be holding you close tonightyour eyes got me dreaming your eyes got me blind your eyes got me hoping that ill be holding you close tonightebony eyes ebony eyes ebony eyes ebony eyesyour eyes got me dreaming your eyes got me blind your eyes got me hoping that ill be holding you close tonightyour eyes got me dreaming your eyes got me blind your eyes got me hoping that ill be holding you close tonight 
97,the name of the game,abba,1978, ive seen you twice in a short time only a week since we started it seems to me for every time im getting more openheartedi was an impossible case noone ever could reach me but i think i can see in your face theres a lot you can teach me so i wanna knowwhats the name of the game does it mean anything to you whats the name of the game can you feel it the way i do tell me please cause i have to know im a bashful child beginning to growand you make me talk and you make me feel and you make me show what im trying to conceal if i trust in you would you let me down would you laugh at me if i said i care for you could you feel the same way too i wanna knowthe name of the gamei have no friends noone to see and i am never invited now i am here talking to you no wonder i get excitedyour smile and the sound of your voice and the way you see through me got a feeling you give me no choice but it means a lot to me so i wanna knowwhats the name of the game your smile and the sound of your voice does it mean anything to you got a feeling you give me no choice but it means a lot whats the name of the game your smile and the sound of your voice can you feel it the way i do tell me please cause i have to know im a bashful child beginning to growand you make me talk and you make me feel and you make me show what im trying to conceal if i trust in you would you let me down would you laugh at me if i said i care for you could you feel the same way too i wanna know oh yes i wanna knowthe name of the game i was an impossible case does it mean anything to you but i think i can see in your face that it means a lot whats the name of the game your smile and the sound of your voice can you feel it the way i do got a feeling you give me no choice but it means a lot whats the name of the game i was an impossible case does it mean anything to you but i think i can see in your face that it means a lot 
98,were all alone,rita coolidge,1978, outside the rain begins and it may never end so cry no more on the shore a dream will take us out to sea forever more forever moreclose your eyes and dream and you can be with me neath the waves through the caves of ours long forgotten now were all alone were all aloneclose the window calm the light and it will be all right no need to bother now let it out let it all begin learn how to pretendonce a storys told it cant help but grow old roses do lovers too so cast your seasons to the wind and hold me dear oh hold me dearclose the window calm the light and it will be all right no need to bother now let it out let it all begin alls forgotten now were all aloneoh were all aloneclose the window calm the light and it will be all right no need to bother now let it out let it all begin owe it to the wind my love 
99,hollywood nights,bob seger  the silver bullet band,1978,bob seger  the silver bullet band miscellaneous hollywood nights she stood there bright as the sun on that california coast he was a midwestern boy on his own she looked at him with those soft eyes so innocent and blue he knew right then he was too far from home he was too far from home she took his hand and she led him along that golden beach  they watched the waves tumble over the sand they drove for miles and miles up those twisting turning roads higher and higher and higher they climbed and those hollywood nights in those hollywood hills she was looking so right  in her diamonds and frills oh those big city nights in those high rolling hills above all the lights  she had all of her skills hed headed west cause he felt that a change would do him good see some old friends good for the soul she had been born with a face that would let her get her way  he saw that face and he lost all control he had lost all control night after night  day after day  it went on and on then came that morning he woke up alone he spent all night staring down at the lights on la wondering if he could ever go home and those hollywood nights in those hollywood hills she was looking so right  it was giving him chills in those big city nights in those high rolling hills above all the lights  with a passion that kills in those hollywood nights in those hollywood hills she was looking so right  in her diamonds and frills oh those big city nights in those high rolling hills above all the lights  she had all of her skills
100,deacon blues,steely dan,1978, this is the day of the expanding man that shape is my shade there where i used to stand it seems like only yesterday i gazed through the glass at ramblers wild gamblers thats all in the pastyou call me a fool you say its a crazy scheme this ones for real i already bought the dream so useless to ask me why throw a kiss and say goodbye ill make it this time im ready to cross that fine linelearn to work the saxophone i play just what i feel drink scotch whiskey all night long and die behind the wheel they got a name for the winners in the world i want a name when i lose they call alabama the crimson tide call me deacon bluesmy back to the wall a victim of laughing chance this is for me the essence of true romance sharing the things we know and love with those of my kind libations sensations that stagger the mindi crawl like a viper through these suburban streets make love to these women languid and bittersweet i rise when the sun goes down cover every game in town a world of my own ill make it my home sweet homelearn to work the saxophone i play just what i feel drink scotch whiskey all night long and die behind the wheel they got a name for the winners in the world i want a name when i lose they call alabama the crimson tide call me deacon bluesthis is the night of the expanding man i take one last drag as i approach the stand i cried when i wrote this song sue me if i play too long this brother is free ill be what i want to bei learned to work the saxophone i play just what i feel drink scotch whiskey all night long and die behind the wheel they got a name for the winners in the world i want a name when i lose they call alabama the crimson tide call me deacon blues 
1,my sharona,the knack,1979, ooh my little pretty one my pretty one when you gonna give me some time sharona ooh you make my motor run my motor run got it coming off o the line sharonanever gonna stop give it up such a dirty mind i always get it up for the touch of the younger kind my my my ayeaye whoa mmmmy sharonacome a little closer huh awill ya huh close enough to look in my eyes sharona keeping it a mystery it gets to me running down the length of my thigh sharonanever gonna stop give it up such a dirty mind i always get it up for the touch of the younger kind my my my ayeaye whoa mmmmy sharona mmmmy sharonawhen you gonna give to me a gift to me is it just a matter of time sharona is it dddestiny ddestiny or is it just a game in my mind sharonanever gonna stop give it up such a dirty mind i always get it up for the touch of the younger kind my my my ayeaye whoa mmmmmmmmy my my ayeaye whoa mmmmy sharona mmmmy sharona mmmmy sharona mmmmy sharonaoooooooohhh my sharona oooooooohhh my sharona oooooooohhh my sharona 
2,bad girls,donna summer,1979, bad girls talking about the sad girls sad girls talking about bad girls yeahsee them out on the street at night walkin picking up on all kinds of strangers if the price is right you cant score if youre pockets tight but you want a good timeyou ask yourself who they are like everybody else they come from near and farbad girls talking about the sad girls sad girls talking about bad girls yeahfriday night and the strip is hot suns gone down and theyre out to trot spirits high and legs look hot do you want to get downnow dont you ask yourself who they are like everybody else they want to be a starbad girls sad girls youre such a dirty bad girl beep beep uh uh youre bad girl youre sad girl youre such a dirty bad girl beep beep uh uhnow you and me were both the same but you call yourself by different names now your mama wont like it when she finds out that her girl is out at nighthey mister have you got a dime mister do you want to spent some time oh yeah i got what you want you got what i need ill be your baby come and spend it on mehey mister i spend some time with youwith you with you bad girls bad girls talking aboud bad girls sad girlshey hey mister 
3,le freak,chic,1979, ah freak out le freak cest chichave you heard about the new dance craze listen to us im sure youll be amazed big fun to be had by everyone its up to you it surely can be done young and old are doing it im told just one try and you too will be sold its called le freak theyre doing it night and day allow us well show you the wayah freak out le freak cest chicall that pressure got you down has your head spinning all around feel the rhythm check the ride come on along and have a real good time like the days of stopping at the savoy now we freak oh what a joy just come on down to fifty four find a spot out on the floorah freak out le freak cest chicnow freak i said freak now freakall that pressure got you down has your head spinning all around feel the rhythm check the ride come on along and have a real good time like the days of stopping at the savoy now we freak oh what a joy just come on down to fifty four find a spot out on the floorah freak out le freak cest chic 
4,da ya think im sexy,rod stewart,1979, suger suger ooh ooh she sits alone waiting for suggestions hes so nervous avoiding all the questions his lips are dry her heart is gently pounding dont you just know exactly what theyre thinkingif you want my body and you think im sexy come on sugar let me know if you really need me just reach out and touch me come on honey tell me so tell me so babehes acting shy looking for an answer come on honey lets spend the night together now hold on a minute before we go much further give me a dime so i can phone my mother they catch a cab to his highrise apartment at last he can tell her exactly what his heart meantif you want my body and you think im sexy come on honey tell me so if you really need me just reach out and touch me come on sugar let me knowhis hearts beating like a drum cause at last hes got this girl home relax baby now were all alonethey wake at dawn cause all the birds are singing two total strangers but that aint what theyre thinking outside its cold misty and its raining they got each other neither ones complaining he says im sorry but im out of milk and coffee never mind sugar we can watch the early movieif you want my body and you think im sexy come on sugar let me know if you really need me just reach out and touch me come on honey tell me so oohsugar if you really need me just reach out and touch me come on sugar let me know if you really need me need me need me really need me just let me know just reach out and touch me ooh if you really want me just reach out and touch me come on sugar let me know if you really need me just reach out and touch me come on sugar let me know if you if you if you really need me just come on and tell me so ooh 
5,reunited,peaches  herb,1979,i was a fool to ever leave your side me minus you is such a lonely ride that breakup we had has made me lonesome and sad i realize i love you cuz i want you back heyhey i spent the evening with the radio regret the moment that i let you go our quarrel was such a way of learning so much i know now that i love you cuz i need your touch heyhey reunited and it feels so good reunited cuz we understood theres one perfect fit and sugar this one is it we both are so excited cuz were reunited heyhey i sat here starin at the same old wall came back to life just when i got your call i wished i could climb right through the telephone line and give you what you want so you would still be mine heyhey i cant go cheatin honey i cant play i found it very hard to stay away as we reminisce on precious moments like this im glad were back together cuz i missed your kiss heyhey reunited and it feels so good reunited cuz we understood theres one perfect fit and sugar this one is it we both are so excited cuz were reunited heyhey baby oh lovin lover this is solid love and youre exactly what im dreamin of all through the day and all through the night ill give you all the love i have with all my might heyhey reunited and it feels so good reunited cuz we understood theres one perfect fit and sugar this one is it we both are so excited cuz were reunited heyhey listen baby i wont ever make you cry i wont let one day go by without holding you without kissing you without loving you reunited youre my everything only you know how i feel all the love there is in me i wanna let you know i wont let you go i wanna let you know i wont let you go reunited feels so good reunited and it feels so good reunited cuz we understood theres one perfect fit and sugar this one is it we both are so excited cuz were
6,i will survive,gloria gaynor,1979, at first i was afraid i was petrified thinking i couldnt live without you by my side and ive been spending nights thinking how you did me wrong and i grew strong and i learned how to get along and now youre back from outer space and i find you here with that sad look upon your face i should have changed that stupid lock oh made you leave your key if ive known for a second youd be back to bother me go on now go walk out the door turn around now youre not welcome anymore youre the one who tried to hurt me with goodbye do you think id crumble did you think id lay down and dieno not i i will survive long as i know how to love i know ill stay alive ive got all my life to live and all my love to give and ill survive i i i will surviveit took all my strength not to fall apart trying without my mind to mend my broken heart i spent so many nights feeling sorry for myself how i cried but now i hold my head up high and you see me somebody new im not that lonely little person whos still in love with you now you come dropping in expecting me to be free now im saving all my lovin for someone whos loving me go on now walk out the door turn around now youre not welcome anymore youre the one who tried to hurt me with goodbye think id might crumble did you think id lay down and dieno not i i will survive long as i know how to love i know ill stay alive ive got my life to live and all my love to give and ill survive i i i will survivego and go walk out the door turn around now youre not welcome anymore youre the one who tried to hurt me with goodbye do you think id crumble did you think id lay down and dieno not i i will survive long as i know how to love i know ill stay alive ive got all my life to live and all my love to give and ill survive i i i will surviveit took all my strength not to fall apart trying without my mind to mend my broken heart i spent so many nights feeling sorry for myself how i cried now i hold my head up high and you see me somebody new not that lonely little person whos still in love with you now you come dropping in expecting me to be free but im saving all my lovin for someone whos loving mego on and go walk out the door turn around now youre not welcome anymore youre the one who tried to hurt me with goodbye think id might crumble did you think id lay down and dieno not i i will survive long as i know how to love i know ill stay alive ive got my life to live and all my love to give and ill survive i i i will survivego on and go walk out the door turn around now youre not welcome anymore youre the one who tried to hurt me with goodbye 
7,hot stuff,donna summer,1979, sittin here eatin my heart out waitin waitin for some lover to call dialed about a thousand numbers lately almost rang the phone off the walllookin for some hot stuff baby this evenin i need some hot stuff baby tonight i want some hot stuff baby this evenin gotta have some hot stuff gotta have some love tonighthot stuff i need hot stuff i want some hot stuff i need hot stufflookin for a lover who needs another dont want another night on my own wanna share my love with a warm blooded lover wanna bring a wild man back homegotta have some hot love baby this evenin i need some hot stuff baby tonight i want some hot stuff baby this evenin gotta have some lovin got to have a love tonighthot stuff i need hot stuff hot love lookin for hot lovehot hot hot hot stuff hot hot hot hot hot hot hot stuff hot hot hothows bout some hot stuff baby this evenin i need some hot stuff baby tonight gimme little hot stuff baby this evenin hot stuff baby gonna need your love tonighthot stuff i need hot love lookin for hot love wanna have hot lovesittin here eating my heart no reason wont spend another night on my own i dialed about a hundred numbers baby im bound to find somebody homegonna have some hot stuff baby this evenin i need some hot stuff baby tonight looking for my hot stuff baby this evenin need some loving baby gonna need your love tonighthot stuff baby this evening i need some hot stuff baby tonight yeah yeah i want some hot stuff baby this evenin i want some hot stuff baby tonight yeah yeah yeah yeah hot love baby i need your hot stuff baby tonight i want your hot stuff baby this evenin hot stuff baby gonna need your love tonight 
8,ymca,village people,1979, young man theres no need to feel down i said young man pick yourself off the ground i said young man cause youre in a new town theres no need to be unhappyyoung man theres a place you can go i said young man when youre short on your dough you can stay there and im sure you will find many ways to have a good timeits fun to stay at the ymca its fun to stay at the ymca they have everything for young men to enjoy you can hang out with all the boysits fun to stay at the ymca its fun to stay at the ymca you can get yourself clean you can have a good meal you can do whatever you feelyoung man are you listening to me i said young man what do you wanna be i said young man you can make real your dreams but youve got to know this one thingno man does it all by himself i said young man put your pride on the shelf and just go there to the ymca im sure they can help you todayits fun to stay at the ymca its fun to stay at the ymca they have everything for young men to enjoy you can hang out with all the boysits fun to stay at the ymca its fun to stay at the ymca you can get yourself clean you can have a good meal you can do whatever you feelyoung man i was once in your shoes i said i was down and out with the blues i felt no man cared if i were alive i felt the whole world was so jivethats when someone came up to me and said young man take a walk up the street theres a place there called the ymca they can start you back on your wayits fun to stay at the ymca its fun to stay at the ymca young man young man theres no need to feel down young man young man pick yourself off the groundymca and just go to the ymca 
9,ring my bell,anita ward,1979, im glad youre home now did you really miss me i guess you did by the look in your eye look in your eye look in your eye well lay back and relax while i put away the dishes put away the dishes then you and me can rock a bellyou can ring my bell ring my bell you can ring my bell ring my bell you can ring my bell ring my bell you can ring my bell ring my bellthe night is young and full of possibilities well come on and let yourself be free yeah my love for you love for you love for you so long ive been savin tonight was made for me and youyou can ring my bell ring my bell ring my bell dingdongding you can ring my bell ring my bell ring my bell ringaringaring you can ring my bell ring my bell ring my bell dingdongding you can ring my bell ring my bell ring my bell ringaringaringyou can ring my bell you can ring my bell ding dong ding ahah ring it you can ring my bell anytime anywhere ring it ring it ring it ring it owyou can ring my bell you can ring my bell ding dong ding ahah ring it you can ring my bell anytime anywhere ring it ring it ring it ring it owyou can ring my bell ring my bell ring my bell dingdongding you can ring my beeell ring my bell ring my bell ringaringaring you can ring my beeell ring my bell ring my bell dingdongding 
10,sad eyes,robert john,1979, looks like its over you knew i couldnt stay shes comin home today we had a good thing ill miss your sweet love why must you look at me that way its oversad eyes turn the other way i dont wanna see you cry sad eyes you knew thered come a day when we would have to say goodbyetry to remember the magic that we shared in time your broken heart will mend i never used you you knew i really cared i hate to see it have to end but its oversad eyes turn the other way i dont wanna see you cry sad eyes you knew thered come a day when we would have to say goodbyeinstrumental interludesad eyes you knew thered come a day when we would have to say goodbye sad eyes turn the other way turn the other way i dont wanna see you cry cry cry cry sad eyes you knew thered come a day heeeey when we would have to say goodbye sad eyes 
11,too much heaven,bee gees,1979, nobody gets too much heaven no more its much harder to come by im waiting in line nobody gets too much love anymore its as high as a mountain and harder to climboh you and me girl got a lot of love in store and it flows through you and it flows through me and i love you so much more then my life i can see beyond forever everything we are will never die lovings such a beautiful thing oh you make my world a summer day are you just a dream to fade awaynobody gets too much heaven no more its much harder to come by im waiting in line nobody gets too much love anymore its as high as a mountain and harder to climbyou and me girl got a highway to the sky we can turn away from the night and day and the tears you had to cry youre my life i can see a new tomorrow everything we are will never die lovings such a beautiful thing when you are to me the light above made for all to see our precious lovenobody gets too much heaven no more its much harder to come by im waiting in line nobody gets too much love anymore its as high as a mountain and harder to climblove is such a beautiful thing you make my world a summer day are you just a dream to fade awaynobody gets too much heaven no more its much harder to come by im waiting in line nobody gets too much love anymore its as wide as a river and harder to climbnobody gets too much heaven no more its much harder to come by im waiting in linenobody gets too much love anymore its as high as a mountain and harder to climb nobody gets too much heaven no more its much harder to come by im waiting in linenobody gets too much love anymore its as high as a mountain and harder to climb 
12,macarthur park,donna summer,1979,spring was never waiting for us till it ran one step ahead as we followed in the dance mac arthurs park is melting in the dark all the sweet green icing flowing down someone left the cake out in the rain i dont think that i can take it cause it took so long to bake it and ill never have that recipe again oh no i recall the yellow cotton dress foaming like a wave on the ground beneath your knees birds like tender babies in your hands and the old men playing chinese checkers by the trees mac arthur park is melting in the dark all the sweet green icing flowing down someone left the cake out in the rain i dont think that i can take it cause it took so long to bake it and ill never have that recipe again oh no mac arthur park is melting in the dark all the sweet green icing flowing down someone left my cake out in the rain i dont think that i can take it cause it took so long to bake it and ill never have that recipe again oh no
